row,Product Id,"国家
Country",shop,product_name,image_url,"首图
First Image Show","最爆视频链接参考
Video link","一级行业
Primary Industry","一级类目
Level 1 Category","二级类目
Level 2 Category","三级类目
Level 3 Category","商品原价
Listed Price","秒杀指导价
Flash Sale Price","折扣率
Discount Rate",price,"颜色
Colors","尺码
Sizes",link,"供应商名称
Supplier Name",Number Requested,Number Ordered
S240601002858,1.73051E+18,SA,MIZIQIER 3C store,???? ?????? Cat 8? ???? ???? ???? ?????? ???? 40 ???? ???? 2000 ????????? ???? LAN ???? ?????? ?????? ??????? PC PS5 Xbox ????? ?????,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/a9d6083d9f3c42a5aed5c6ebd3db19d0~tplv-aphluv4xwc-resize-jpeg:300:300.jpeg?dr=15584&from=520841845&idc=my2&ps=933b5bde&shcp=e4b437d3&shp=1f0b6a75&t=555f072d,,,大标品,"电脑和办公设备
Computers & Office Equipment","网络组件
Network Components","网线 & 接口
Network Cables & Connectors",?.?33 - ?.?499,,,?.?9.24-?.?139.72,?????,"1.65 ??? / 0.5 ? / 19.6 ????,3.3 ??? / 1 ??? / 39.3 ????,6.6 ??? / 2 ??? / 78.7 ????,10FT / 3M / 118inch,15FT / 5M / 197inch,26 ??? / 8 ? / 314.9 ????,32.8 ??? / 10 ? / 393.7 ????,50 ??? / 15 ? / 590.5 ????,65 ??? / 20 ? / 787.4 ????, 100FT / 30M / 1181inch",https://shop.tiktok.com/view/product/1730505548082743452?region=SA&source=seller_center,东莞市贝逸特科技有限公司,0,0
S240803002746,1.73072E+18,SA,Autoparts Bargains,??? ????? ?????? ?????? ????????? 30 ???? ?? ????? ????? ?????? ???????? ????????? ????????? ???? ????? ??? ?????? ???????? ????????? ??????? ????????? ????????,https://p19-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/6462d152030b479ab9dd115d2715913e~tplv-aphluv4xwc-resize-jpeg:300:300.jpeg?dr=15584&from=520841845&idc=my2&ps=933b5bde&shcp=e4b437d3&shp=1f0b6a75&t=555f072d,,,大标品,"汽车和摩托车相关
Automotive & Motorcycle","汽车修理工具
Car Repair Tools","轮胎修理和安装工具
Tire Repair & Fitting Tools",?.?45,,,?.?15.75,Black,30Pcs,https://shop.tiktok.com/view/product/1730720794398264094?region=SA&source=seller_center,上海卢闰科技有限公司,0,0
S240813003170,1.73095E+18,SA,Tech Audio Digital,?????? ??? ??????? ??????? ?? MINISO X33? ????? BT 6.0 ??????? ???? 134 ???? ????? ??????? ?? ????? ??????? ?????? ??? ??????? BT? ???? HIFI? ???? ????? ????? ???????? ????? ???????? ???? ??????? ??? ?? ??,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/cecd9a6107a240e4be4857b630a365fe~tplv-o3syd03w52-resize-jpeg:300:300.jpeg?dr=15584&from=520841845&idc=my2&ps=933b5bde&shcp=e4b437d3&shp=1f0b6a75&t=555f072d,,,大标品,"手机和电子产品
Phones & Electronics","影音设备
Audio & Video","耳机
Headphones, Earphones & Accessories",?.?155,,,?.?52.7,"Pink,Black,Rose gold,???",???? ????,https://shop.tiktok.com/view/product/1730951095359539421?region=SA&source=seller_center,深圳市声动音学科技有限公司,0,0
S240112000846,1.732E+18,SA,Easy Trading,?????? ??????? ??????? ????? ??????? 12 ???? 800 ?????? 1 ????? ???? ?????? ????? ???????? ???? ?????? ???? ????? ???????,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/83c82ffa470c41cb8b900e33c4fc0771~tplv-o3syd03w52-resize-jpeg:300:300.jpeg?dr=15584&from=520841845&idc=my&ps=933b5bde&shcp=e4b437d3&shp=1f0b6a75&t=555f072d,,,大标品,"汽车和摩托车相关
Automotive & Motorcycle","汽车修理工具
Car Repair Tools","汽车电池修理工具
Car Battery Repair Tools",?.?289 - ?.?305,,,?.?144.5-?.?152.5,"????,????","???? ????? ?????,???? ????? ?????? + ?????",https://shop.tiktok.com/view/product/1731998253479463167?region=SA&source=seller_center,香港禾柚貿易有限公司,1,0
S250717023558,1.73202E+18,SA,YiLiJukj,???? ??? ???? USB-C ???? 25 ???? ???? ???? 1 ???? ?????? ?? ???? ??????? ??????? S24/s23 Ultra/s22/s21? ???? ????? ???- C,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/4a751bfab9d340a28d08970b5e29c3c8~tplv-o3syd03w52-resize-jpeg:300:300.jpeg?dr=15584&from=520841845&idc=my&ps=933b5bde&shcp=e4b437d3&shp=1f0b6a75&t=555f072d,,,大标品,"手机和电子产品
Phones & Electronics","手机配件
Mobile Phone Accessories","充电线、充电器 & 转换器
Cables, Chargers & Adapters",?.?109,,,?.?27.25,????,1 ??????,https://shop.tiktok.com/view/product/1732017431062152245?region=SA&source=seller_center,深圳市意利聚科技有限公司,0,0
S240814007207,1.73228E+18,SA,Trend Pendant,???? ????? ???? ???????? ?? ???? ????? ???? ????? ???? ????? ??????? ????? ????? 16/16 ???/16 ??? ????/16 ???/15/15 ???/15 ??? ????/15 ???/14/14 ???/14 ??? ????/13/13 ???/13 ??? ????/12/12 ???/12 ??? ????/11 ??? ????,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/4eae7a9102a7481cb499ce8111dba9e8~tplv-aphluv4xwc-resize-jpeg:300:300.jpeg?dr=15584&from=520841845&idc=my&ps=933b5bde&shcp=e4b437d3&shp=1f0b6a75&t=555f072d,,,大标品,"手机和电子产品
Phones & Electronics","手机配件
Mobile Phone Accessories","保护壳、屏幕保护膜、皮肤
Cases, Screen Protectors & Stickers",?.?39 - ?.?75,,,?.?16.77-?.?32.25,"Black,Silver,Purple,????","iPhone 15 Pro Max,iPhone 15 Pro,iPhone 15 Plus,iPhone 15,Iphone 14 pro max,Iphone 14 plus,Iphone 14 pro,Iphone 14,Iphone 13pro max,Iphone 13,Iphone 12 pro max,Iphone 11 pro max,Iphone 11,????? 16 ??? ????,????? 16 ???,????? 16 ???,????? 16",https://shop.tiktok.com/view/product/1732275381019707703?region=SA&source=seller_center,广西南宁市科鑫达贸易有限公司,0,0
S250410004825,1.7326E+18,SA,KENKE Case,????? ????? ????????? ????? ????? ? ?????? ?? KENKE KENKE ?? ???? ???? ????? ????? ????? ???? ???? ???????? ?????? ??????? ??????? ?? ?????,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/dd13e2aefb7446beac608dc87194cb14~tplv-o3syd03w52-resize-jpeg:300:300.jpeg?dr=15584&from=520841845&idc=my2&ps=933b5bde&shcp=e4b437d3&shp=1f0b6a75&t=555f072d,,,大标品,"手机和电子产品
Phones & Electronics","平板电脑配件
Tablet & Computer Accessories","平板电脑保护套/壳
Tablet Covers & Cases",?.?125 - ?.?215,,,?.?48.75-?.?83.85,"????,???? ????","????? ??? 13 ???? (M2) / ????? ??? (M3) 2024/2025,????? ??? 13 ???? (M4) 2024,????? ??? 11 ???? (M3) 2025,????? ??? 12.9 (2021/2022),????? ????6 / ????? ???? A17 ???,????? ??????/????? 11 ????? A16,????? ??? 4/????? ??? 5 (10.9),????? ????? ??????/??????/?????? (10.2),????? ??? 11 ???? (2020/2021/2022),????? ??? 11 ???? (M4) 2024,????? ??? 6 ? 11 ???? (M2) 2024",https://shop.tiktok.com/view/product/1732602782342547140?region=SA&source=seller_center,上海铭铂商贸有限公司,0,0
S260415044541,1.73747E+18,SA,FHLHAO,????? ???? ????? - ???? ????? ??? ????? 17 ?????? ?????? ?????? ?? ??? ????? PU? ??????? ?? iPhone 17 ?16 ?15 ?14 ?13 Pro Max ?17 Pro ?17 Pro Max? ????? ?????? ??????? ?? ????? ????? ???????? ????? ????? ?????? ?????? ???????,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/640b299e965747dc8b28b513cf889fa1~tplv-aphluv4xwc-resize-jpeg:300:300.jpeg?dr=15584&from=520841845&idc=my&ps=933b5bde&shcp=e4b437d3&shp=1f0b6a75&t=555f072d,,,大标品,"手机和电子产品
Phones & Electronics","手机配件
Mobile Phone Accessories","保护壳、屏幕保护膜、皮肤
Cases, Screen Protectors & Stickers",?.?59 - ?.?65,,,?.?14.75-?.?16.25,"????,????,?????,????????","Iphone 13pro max,Iphone 14 pro,????? 17 ??? ????,iPhone 15,Iphone 13pro,????? 16 ??? ????,Iphone 14,????? 16,Iphone 14 pro max,????? 16 ???,iPhone 15 Pro Max,????? 17,Iphone 13,????? 17 ???,iPhone 15 Pro",https://shop.tiktok.com/view/product/1737470985890137192?region=SA&source=seller_center,深圳市蚨海联科技有限公司,0,0
S251015068666,1.73747E+18,SA,Auto-Moto Parts Hub,??????? ?????? ??????? ?? ????? ??? ????? ?????? ?????? ?????? ????? ?????? ?????? ???? ?????? ????? ????? ???????? ????? ???? ????????? ????? ????,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/d03fbb2321c141b08fc3cf44cacfd5a4~tplv-aphluv4xwc-resize-jpeg:300:300.jpeg?dr=15584&from=520841845&idc=my&ps=933b5bde&shcp=e4b437d3&shp=1f0b6a75&t=555f072d,,,大标品,"汽车和摩托车相关
Automotive & Motorcycle","汽车内饰配件
Car Interior Accessories","饰品
Decoration",?.?39 - ?.?49,,,?.?13.65-?.?17.15,"???? ????,???? ??? ???? ???? ?????? ?????",????,https://shop.tiktok.com/view/product/1737471053372752901?region=SA&source=seller_center,衡阳石鼓区喜顺贸易商行（个体工商户）,0,0
S260312073727,1.73747E+18,SA,FHLHAO,???? ???? ???? ????????? ???? ??? CD ??????? ??????? ?????? ????? ??????? ?????? ?? iPhone 17 Pro Max ?16 ?15 ?14 ?13 Pro Max? ????? ????? ???? ????????? ?? ???? ???????? ????? ??????? ???????????? ???? ????? ????? ?????? ??????? ????????.,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/5a4b6a7c7e8743429ca504642091ebd0~tplv-aphluv4xwc-resize-jpeg:300:300.jpeg?dr=15584&from=520841845&idc=my2&ps=933b5bde&shcp=e4b437d3&shp=1f0b6a75&t=555f072d,,,大标品,"手机和电子产品
Phones & Electronics","手机配件
Mobile Phone Accessories","保护壳、屏幕保护膜、皮肤
Cases, Screen Protectors & Stickers",?.?35 - ?.?75,,,?.?8.75-?.?18.75,"????,????,????????,????","Iphone 13pro,????? 17 ??? ????,Iphone 13pro max,Iphone 14,????? 16 ??? ????,iPhone 15 Pro Max,Iphone 14 pro,iPhone 15 Pro,????? 16,????? 16 ???,iPhone 15,????? 17,Iphone 13,Iphone 14 pro max,????? 17 ???",https://shop.tiktok.com/view/product/1737471074026554472?region=SA&source=seller_center,深圳市蚨海联科技有限公司,0,0
